product_name,users,orders,total_items,reorder_rate
Organic Turkey Bacon,1547,2613,2613,0.4079601990049751
Organic 1% Low Fat Milk,716,2612,2612,0.7258805513016845
Organic Dark Chocolate Peanut Butter Cups,1173,2582,2582,0.54570100697134
Organic Whole Milk with DHA Omega-3,781,2581,2581,0.6974041069352964
Organic Dill,1936,2573,2573,0.24757092887679752
Organic Shredded Mozzarella,1733,2560,2560,0.323046875
Organic 21 Grain Thin Sliced Bread,1242,2549,2549,0.5127500980776776
Organic Broccoli Crowns,1482,2549,2549,0.4185955276579051
Organic Chicken Broth,1815,2530,2530,0.2826086956521739
Organic Large Green Asparagus,1841,2521,2521,0.2697342324474415
Organic Cauliflower,1708,2520,2520,0.32222222222222224
Organic Bunch Beets,1750,2518,2518,0.3050039714058777
Organic Beef Hot Dogs,1578,2511,2511,0.3715651135005974
Organic Red Cabbage,1830,2509,2509,0.27062574730968514
"Milk, Organic, Vitamin D",851,2505,2505,0.6602794411177645
Organic Unsweetened Vanilla Almond Milk,990,2499,2499,0.6038415366146459
Organic Yellow Peaches,1649,2477,2477,0.33427533306419055
Organic Vegetable Broth,1736,2467,2467,0.2963113092825294
Organic AppleApple,1265,2462,2462,0.4861900893582453
Organic Italian Salad,1329,2449,2449,0.4573295222539812
Organic Red Delicious Apple,1228,2433,2433,0.4952733251130292
Organic Coconut Water,589,2378,2378,0.7523128679562657
Organic Whole Grain Wheat English Muffins,1264,2316,2316,0.4542314335060449
Organic Lowfat 1% Milk,822,2305,2305,0.6433839479392625
Organic Lemonade,1015,2300,2300,0.558695652173913
Organic Dijon Mustard,2006,2296,2296,0.12630662020905922
Organic Apple Juice,1148,2289,2289,0.4984709480122324
Organic Spinach Bunch,1509,2283,2283,0.33902759526938236
Organic Red On the Vine Tomato,1537,2265,2265,0.32141280353200885
Organic Large Brown Eggs,1053,2247,2247,0.5313751668891856
Potato Yukon Gold Organic,1697,2229,2229,0.23867205024674742
Organic Green Onions,1344,2184,2184,0.38461538461538464
"Organic Butterhead (Boston, Butter, Bibb) Lettuce",1513,2169,2169,0.3024435223605348
Organic Riced Cauliflower,1422,2154,2154,0.3398328690807799
"Organic Milk Reduced Fat, 2% Milkfat",643,2145,2145,0.7002331002331003
Organic Whole Cashews,1245,2113,2113,0.4107903454803597
Organic No Salt Added Diced Tomatoes,1477,2106,2106,0.298670465337132
Organic Beef Uncured Hot Dogs,1289,2082,2082,0.3808837656099904
Organic Raw Unfiltered Apple Cider Vinegar,1739,2074,2074,0.16152362584378013
Organic Low Sodium Vegetable Broth,1540,2070,2070,0.2560386473429952
Organic Macaroni Shells & Real Aged Cheddar,1311,2063,2063,0.3645176926805623
Organic Rosemary,1628,2057,2057,0.20855614973262032
Organic Strawberry Fruit Spread,1423,2054,2054,0.30720545277507305
Organic Whole Grassmilk Milk,889,2041,2041,0.5644292013718766
Organic Lightly Salted Brown Rice Cakes,1110,2038,2038,0.4553483807654563
Organic Red Chard Greens,1182,2036,2036,0.4194499017681729
Organic Sea Salt Roasted Seaweed Snacks,1098,2032,2032,0.4596456692913386
Organic Original Hommus,1196,2026,2026,0.4096742349457058
Organic Strawberry Smoothie,770,2017,2017,0.6182449181953397
Organic Chopped Spinach,1419,2008,2008,0.29332669322709165
Kids Organic Chocolate Chip ZBars,957,1999,1999,0.5212606303151576
Organic Beans & Rice Cheddar Cheese Burrito,931,1993,1993,0.532865027596588
Frozen Organic Blueberries,1048,1986,1986,0.47230614300100704
Organic Chicken Strips,1051,1969,1969,0.4662265109192483
Bunny-Luv Fresh Organic Carrots,1464,1966,1966,0.25534079348931843
Organic Bagged Carrots,1167,1951,1951,0.4018452075858534
Organic Baby Kale Mix,1271,1947,1947,0.34720082177709294
Organic Uncured Sliced Black Forest Ham,1138,1945,1945,0.41491002570694085
Organic Extra Large Brown Eggs,1014,1929,1929,0.47433903576982894
Organic Mixed Vegetables,1231,1917,1917,0.35785080855503393
Organic Green Beans,1026,1903,1903,0.46085128744088283
Organic Chicken & Apple Sausage,1200,1902,1902,0.36908517350157727
Organic Cinnamon Crunch Cereal,1217,1896,1896,0.3581223628691983
Organic Yellow Squash,1228,1876,1876,0.34541577825159914
Organic Whole Wheat Bread,1012,1863,1863,0.4567901234567901
Organic Plain Whole Milk Yogurt,935,1860,1860,0.49731182795698925
Organic Fuji Apples,810,1852,1852,0.562634989200864
Synergy Organic Kombucha Gingerberry,789,1845,1845,0.5723577235772358
Organic Pinto Beans,1310,1843,1843,0.2892023874118285
Organic Vanilla Almond Milk,859,1824,1824,0.5290570175438597
Organic Sunday Bacon,1206,1817,1817,0.33626857457347276
Organic Vanilla Extract,1647,1797,1797,0.08347245409015025
Organic Mango,1207,1787,1787,0.3245663122551763
Organic Fresh Basil,1271,1780,1780,0.2859550561797753
Organic Golden Delicious Apple,909,1770,1770,0.4864406779661017
Organic Frozen Mango Chunks,1163,1754,1754,0.3369441277080958
Organic Cream Cheese Bar,1310,1742,1742,0.24799081515499427
Organic Braeburn Apple,1038,1704,1704,0.3908450704225352
Organic Free Range Low Sodium Chicken Broth,1195,1703,1703,0.2982971227246036
Organic Long Grain White Rice,1368,1701,1701,0.19576719576719576
Organic Small Curd Cottage Cheese,870,1699,1699,0.48793407886992346
Organic Fat-Free Milk,302,1692,1692,0.8215130023640662
Organic Chicken Noodle Soup,1202,1681,1681,0.28494943486020224
Organic Mayonnaise,1347,1678,1678,0.19725864123957093
Organic Baby Bella Mushrooms,1021,1673,1673,0.38971906754333535
Organic Stringles Mozzarella String Cheese,839,1663,1663,0.4954900781719784
Organic Multigrain Waffles,953,1662,1662,0.4265944645006017
Organic Wheat-Free & Gluten-Free Original Crackers,946,1662,1662,0.43080625752105894
Organic Distilled White Vinegar,1355,1653,1653,0.18027828191167575
Organic Lite Coconut Milk,1155,1650,1650,0.3
Organic Beef Broth,1358,1638,1638,0.17094017094017094
Organic Medjool Dates,1062,1636,1636,0.3508557457212714
Organic Short Grain Brown Rice,1230,1629,1629,0.24493554327808473
Organic White Cheddar Popcorn,785,1615,1615,0.5139318885448917
Organic Apple Slices,702,1611,1611,0.5642458100558659
Organic Sliced Peaches,1121,1610,1610,0.30372670807453417
Organic Quick Oats,1107,1609,1609,0.3119950279676818
Organic Edamame,1093,1599,1599,0.316447779862414
Organic Thompson Seedless Raisins,1031,1581,1581,0.3478810879190386
Organic Homestyle Waffles,919,1581,1581,0.4187223276407337
Organic Plain Greek Whole Milk Yogurt,829,1576,1576,0.4739847715736041
Organic Chicken Bone Broth,1088,1574,1574,0.3087674714104193
Organic Large Grade AA Omega-3 Eggs,745,1572,1572,0.5260814249363868
Organic Creamy Tomato Soup,995,1562,1562,0.36299615877080665
Large Organic Omega3 Brown Eggs,753,1558,1558,0.5166880616174583
Organic Blueberry Waffles,864,1555,1555,0.44437299035369776
Organic Red Potatoes,1199,1534,1534,0.2183833116036506
Organic Orange Bell Pepper,1051,1525,1525,0.31081967213114753
Organic Variety Pack,692,1510,1510,0.5417218543046357
Organic Crushed Fire Roasted Tomatoes,1114,1510,1510,0.26225165562913905
Organic Cannellini Beans,1112,1509,1509,0.26308813783962887
Organic Whipping Cream,893,1504,1504,0.40625
Citrus Mandarins Organic,1061,1499,1499,0.2921947965310207
Organic Crimini Mushrooms,667,1486,1486,0.5511440107671601
Organic English Cucumber,1027,1476,1476,0.30420054200542007
Organic Kale Greens,815,1475,1475,0.44745762711864406
Organic Red Potato,1082,1471,1471,0.26444595513256286
Organic Honey Sweet Whole Wheat Bread,634,1467,1467,0.5678254942058623
Organic Romaine Leaf,763,1466,1466,0.4795361527967258
Organic Greek Nonfat Yogurt With Mixed Berries,741,1457,1457,0.4914207275223061
Organic Unbleached All-Purpose Flour,1227,1455,1455,0.15670103092783505
Organic Original Almond Milk,600,1452,1452,0.5867768595041323
Organic Mountain Forest Amber Honey,1107,1435,1435,0.22857142857142856
Organic Low Sodium Chicken Cooking Stock,1006,1431,1431,0.296995108315863
Organic Tahini,1234,1429,1429,0.1364590622813156
Organic Raw Multigreen Kobmbucha,568,1408,1408,0.5965909090909091
Organic Hot House Tomato,1031,1389,1389,0.257739380849532
Organic Greek Whole Milk Blended Vanilla Bean Yogurt,637,1386,1386,0.5404040404040404
Organic 1% Milk,353,1382,1382,0.7445730824891461
Organic Chicken Thighs,950,1377,1377,0.3100944081336238
Organic Cottage Cheese,747,1371,1371,0.4551422319474836
Organic Muenster Cheese Slices,742,1364,1364,0.4560117302052786
Organic Wheat Square Crackers,887,1359,1359,0.34731420161883736
Vitamin D Organic Milk,251,1346,1346,0.8135215453194651
Organic Fancy Shredded Mozzarella Cheese,758,1344,1344,0.43601190476190477
Bunny-Luv Organic Carrots,722,1343,1343,0.462397617274758
Organic Red Lentils,1071,1341,1341,0.20134228187919462
Organic Cane Sugar,928,1333,1333,0.3038259564891223
Organic Red Grapes,879,1323,1323,0.3356009070294785
Organic Sliced White Mushrooms,851,1321,1321,0.3557910673732021
Organic Penne Rigate,904,1317,1317,0.31359149582384205
Organic Sprouted English Muffin,721,1307,1307,0.4483550114766641
Organic Shells And White Cheddar,817,1304,1304,0.37346625766871167
Organic Smoked Turkey Breast,764,1299,1299,0.41185527328714394
Organic & Raw Strawberry Serenity Kombucha,570,1291,1291,0.5584817970565453
Organic Yellow Mustard,1118,1290,1290,0.13333333333333333
Enlightened Organic Raw Kombucha,470,1277,1277,0.6319498825371965
Organic Nectarine,859,1270,1270,0.3236220472440945
Organic Whole Wheat Fusilli,903,1267,1267,0.287292817679558
Organic Rainbow Chard Vegetable,848,1264,1264,0.3291139240506329
ZBar Organic Chocolate Brownie Energy Snack,604,1264,1264,0.5221518987341772
Organic Cut Green Beans,876,1260,1260,0.3047619047619048
Organic Greek Plain Nonfat Yogurt,667,1255,1255,0.4685258964143426
Organic Jasmine Rice,653,1252,1252,0.4784345047923323
Organic Multigrain Bread,458,1247,1247,0.6327185244587009
Organic Lactose Free Whole Milk,396,1244,1244,0.6816720257234726
Organic 2% Chocolate Milk,393,1237,1237,0.6822958771220695
Organic Milk Chocolate Peanut Butter Cups,608,1237,1237,0.5084882780921585
Organic Ezekiel 4:9 Sesame Bread,661,1237,1237,0.465642683912692
Organic Whole Peeled Tomatoes,894,1231,1231,0.2737611697806661
Organic Mango Chunks,798,1228,1228,0.3501628664495114
Organic Super Fruit Punch Juice Drink,696,1226,1226,0.43230016313213704
Flax Plus Organic Pumpkin Flax Granola,620,1224,1224,0.4934640522875817
Organic Tomato Basil Sauce,907,1223,1223,0.2583810302534751
Organic Nonfat Greek Yogurt With Peaches,687,1221,1221,0.43734643734643736
Organic Vanilla Soymilk,468,1216,1216,0.6151315789473685
Organic Orange Juice,595,1213,1213,0.5094806265457543
Organic Guacamole,509,1213,1213,0.5803792250618302
Organic Purple Kale,745,1212,1212,0.38531353135313534
Organic Whole Crimini Mushrooms,813,1208,1208,0.3269867549668874
Organic String Cheese,442,1201,1201,0.6319733555370525
Organic Chocolate Chip Chewy Granola Bars,690,1199,1199,0.4245204336947456
Organic Greek Lowfat Yogurt With Strawberries,685,1189,1189,0.4238856181665265
Organic Gluten Free Non-Dairy Beans & Rice Burrito,539,1189,1189,0.5466778805719091
Organic Green Lentils,962,1185,1185,0.1881856540084388
Organic Lactose Free 1% Lowfat Milk,433,1177,1177,0.6321155480033984
Organic Low Fat Chocolate Milk,479,1172,1172,0.591296928327645
Organic Marinara Pasta Sauce,810,1166,1166,0.3053173241852487
Organic Whole White Mushrooms,721,1164,1164,0.3805841924398625
Goodness Grapeness Organic Juice Drink,525,1164,1164,0.5489690721649485
Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt,515,1146,1146,0.5506108202443281
Synergy Organic & Raw Cosmic Cranberry,521,1137,1137,0.5417766051011433
Organic Fresh Squeezed Orange Juice,561,1133,1133,0.5048543689320388
Organic Cherry Tomatoes,807,1123,1123,0.28138913624220835
Organic Baby Lettuces,367,1113,1113,0.6702605570530099
Bag of Organic Fuji Apples,702,1112,1112,0.368705035971223
Organic Genoa Salami,679,1111,1111,0.38883888388838883
Organic Bunny Fruit Tropical Treat Fruit Snacks,607,1104,1104,0.45018115942028986
Organic Berry Blend,751,1090,1090,0.3110091743119266
Organic Animal Crackers,456,1090,1090,0.581651376146789
Organic YoKids Very Berry Smoothies,486,1089,1089,0.5537190082644629
Organic Whole Wheat Penne Rigate,744,1087,1087,0.3155473781048758
Organic Ezekiel 49 Bread Cinnamon Raisin,624,1085,1085,0.4248847926267281
Organic Peeled & Cooked Beets,736,1077,1077,0.3166202414113278
Gluten-Free Red Hot Blues Made with Organic Blue  Corn Tortilla Chips,480,1077,1077,0.5543175487465181
Organic Sugar Snap Peas,757,1076,1076,0.29646840148698883
Dark with 70% Cacao Content Organic Chocolate Bar,635,1071,1071,0.40709617180205415
Organic Skim Milk,320,1068,1068,0.700374531835206
Frozen Organic Strawberries,655,1055,1055,0.3791469194312796
Organic Lentil Vegetable Soup,658,1053,1053,0.37511870845204176
Organic Brown Rice Cake Salt-Free,606,1052,1052,0.42395437262357416
Organic  Whole Milk,430,1047,1047,0.5893027698185291
Organic Zucchini Spirals,576,1038,1038,0.44508670520231214
Organic Lentil Soup,582,1035,1035,0.43768115942028984
Organic Quinoa & Brown Rice With Garlic,549,1031,1031,0.46750727449078566
Organic Seasoned Yukon Select Potatoes Hashed Browns,669,1023,1023,0.3460410557184751
Organic Sage,883,1022,1022,0.1360078277886497
Organic Bagged Mini Dark Peanut Butter,433,1022,1022,0.576320939334638
Organic Sliced Crimini Mushrooms,696,1021,1021,0.31831537708129287
Organic Large Grade A Eggs,494,1018,1018,0.5147347740667977
Organic Cheddar Snack Mix,607,1015,1015,0.4019704433497537
Organic Honey Nut O's Cereal,699,1014,1014,0.3106508875739645
Organic Acai Berry Smoothie Packs,701,1012,1012,0.3073122529644269
Organic Broccoli Crown,740,1008,1008,0.26587301587301587
Organic Green Peas,611,1007,1007,0.3932472691161867
Organic Raspberry Lowfat Yogurt,455,1006,1006,0.547713717693837
Organic Cinnamon Harvest Cereal,551,1005,1005,0.45174129353233833
Organic Yukon Select Fries,595,1000,1000,0.405
Organic Rolled Oats,639,998,998,0.35971943887775554
Organic Deep Dark Sea Salt Chocolate,552,997,997,0.4463390170511535
Good Seed Organic Thin Sliced Bread,522,988,988,0.4716599190283401
Organic Spaghetti Pasta,697,988,988,0.29453441295546556
Organic Orzo,772,986,986,0.21703853955375255
Organic Vanilla Bean Ice Cream,691,985,985,0.2984771573604061
Organic YoBaby Vanilla Yogurt,427,984,984,0.5660569105691057
Organic Russet Potato Bag,708,981,981,0.2782874617737003
"Tortillas, Corn, Organic",643,978,978,0.3425357873210634
Organic Chicken Pot Pie,556,976,976,0.430327868852459
"Kombucha, Organic Raw, Citrus",406,973,973,0.5827338129496403
Organic Refried Black Beans,667,972,972,0.31378600823045266
Organic Balsamic Vinegar Of Modena,839,962,962,0.12785862785862787
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,355,960,960,0.6302083333333334
Organic Mini Sandwich Crackers Peanut Butter,517,953,953,0.45750262329485836
Organic Baby Spring Mix,569,949,949,0.40042149631190727
Organic Shredded Mild Cheddar,579,944,944,0.3866525423728814
Sea Salt Made With Organic Grain Rice Chips,418,943,943,0.5567338282078473
Organic Premium Tomato Paste,742,943,943,0.21314952279957583
Organic 85% Cacao Dark Chocolate Bar,563,943,943,0.4029692470837752
Chopped Organic Garlic,762,942,942,0.1910828025477707
Organic Long Grain Brown Rice,760,942,942,0.1932059447983015
Berry Berry Good Lemonade Organic Juice Drink,531,940,940,0.4351063829787234
Organic Baby Romaine Lettuce,528,940,940,0.43829787234042555
Organic Skim Milk with DHA Omega-3,323,936,936,0.6549145299145299
Organic Chives,756,934,934,0.1905781584582441
Organic Lowfat French Vanilla Yogurt,473,934,934,0.493576017130621
Organic Iced Green Tea,327,922,922,0.6453362255965293
Organic Lowfat Milk,407,919,919,0.5571273122959739
Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,503,914,914,0.449671772428884
Organic Air Chilled Whole Chicken,589,913,913,0.3548740416210296
Organic Roast Beef,559,907,907,0.3836824696802646
Large Grade AA Organic Eggs,221,904,904,0.7555309734513275
Organic Soft Wheat Bread,453,900,900,0.49666666666666665
Organic Pumpkin,605,900,900,0.3277777777777778
Organic White English Muffins,458,897,897,0.48940914158305465
Organic Italian Herb Pasta Sauce,663,896,896,0.26004464285714285
Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,405,896,896,0.5479910714285714
Organic Red Bartlett Pear,625,893,893,0.30011198208286677
Organic Dark Sweet Cherries,578,889,889,0.3498312710911136
Whole Organic Omega 3 Milk,339,888,888,0.6182432432432432
Organic Mushroom & Olive Pizza,470,888,888,0.47072072072072074
Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage,418,886,886,0.5282167042889391
0% Fat Free Organic Milk,311,884,884,0.6481900452488688
YoKids Squeeze! Organic Strawberry Flavor Yogurt,380,883,883,0.5696489241223103
Organic Stoneground Wheat Crackers,494,883,883,0.4405436013590034
Organic Love Crunch Granola Dark Chocolate & Red Berries,346,877,877,0.6054732041049031
Organic Homestyle Mini Waffles,465,874,874,0.4679633867276888
Organic Strawana Probugs Kefir,369,867,867,0.5743944636678201
Organic Shredded Unsweetened Coconut,764,865,865,0.11676300578034682
Organic California Style Sprouted Bread,457,863,863,0.4704519119351101
Organic Plain Kefir,460,854,854,0.4613583138173302
Organic Kosher Dill Pickles,594,848,848,0.29952830188679247
Organic Lemon Cayenne Sparkling Probiotic Drink,312,844,844,0.6303317535545023
Grade A Organic Large Brown Eggs,332,843,843,0.6061684460260973
Organic Mixed Berry Yogurt & Fruit Snack,464,839,839,0.4469606674612634
Organic Lowfat Plain Yogurt,369,838,838,0.5596658711217184
Organic Cinnamon Apple Sauce,539,836,836,0.35526315789473684
Organic Whole Milk French Vanilla Yogurt,391,830,830,0.5289156626506024
Organic Celery,540,829,829,0.3486127864897467
"Organic Gala Apples, Bag",466,828,828,0.43719806763285024
Organic Peach Oo La Long Tea,269,827,827,0.6747279322853688
Organic Orange Fruit Juice,411,824,824,0.5012135922330098
Organic Greek Lowfat Yogurt With Blueberries,506,820,820,0.3829268292682927
Organic Blueberries Clamshell,399,819,819,0.5128205128205128
Organic Avocados Hass Variety,390,814,814,0.5208845208845209
Organic Ground Turkey,480,811,811,0.4081381011097411
Organic Apple Juice Boxes,471,809,809,0.4177997527812114
"Organic Snack Mix Bunnies Snack Mix, Organic",487,808,808,0.3972772277227723
Organic Eggs Large,353,805,805,0.5614906832298137
Yotoddler Organic Pear Spinach Mango Yogurt,326,802,802,0.5935162094763092
Organic Hot Salsa,513,800,800,0.35875
Organic Green Butter Lettuce,363,799,799,0.5456821026282853
Organic Avocados,506,796,796,0.36432160804020103
Organic Fuji Red Apple Chips,512,795,795,0.3559748427672956
Organic Lowfat Yogurt Banana Vanilla,351,794,794,0.5579345088161209
Organic Refined Coconut Oil,690,784,784,0.11989795918367346
Organic Garbanzo Beans No Salt Added,545,783,783,0.30395913154533843
Organic Sea Salt Potato Chips,377,781,781,0.5172855313700384
Organic Australian Style Vanilla Lowfat Yogurt,359,781,781,0.5403329065300896
